timestamp,flags,pitch,yaw,pitch_rate,yaw_rate,origin_sysid,origin_compid,target_system,target_component,gimbal_device_id
2880672838,12,nan,nan,-0.006819591,0.38728616,255,190,1,1,0
2880757859,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2880821380,12,nan,nan,-0.0055796653,0.38870934,255,190,1,1,0
2880921345,12,nan,nan,-0.009299442,0.38776055,255,190,1,1,0
2881004939,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2881106086,12,nan,nan,-0.006819591,0.38823494,255,190,1,1,0
2881207854,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2881303858,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2881404864,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2881487893,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2881571940,12,nan,nan,-0.006819591,0.38728616,255,190,1,1,0
2881621612,12,nan,nan,-0.008059517,0.38776055,255,190,1,1,0
2881704083,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2881788051,12,nan,nan,-0.0055796653,0.38823494,255,190,1,1,0
2881854857,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2881954286,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2882037800,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2882103366,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2882171014,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2882253801,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2882338857,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2882454111,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2882537982,12,nan,nan,-0.006199628,0.38728616,255,190,1,1,0
2882620866,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2882725861,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2882804887,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2882889094,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2882987980,12,nan,nan,-0.0055796653,0.38776055,255,190,1,1,0
2883038694,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2883118878,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2883208957,12,nan,nan,-0.006199628,0.38728616,255,190,1,1,0
2883305564,12,nan,nan,-0.006199628,0.38728616,255,190,1,1,0
2883386868,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2883454892,12,nan,nan,-0.006819591,0.38728616,255,190,1,1,0
2883536658,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2883588852,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2883675020,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2883737745,12,nan,nan,-0.0043397397,0.38776055,255,190,1,1,0
2883837872,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2884001286,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2884070218,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2884172848,12,nan,nan,-0.0074395537,0.38728616,255,190,1,1,0
2884237844,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2884354854,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2884438041,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2884503876,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2884605131,12,nan,nan,-0.008059517,0.38728616,255,190,1,1,0
2884703902,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2884770138,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2884854754,12,nan,nan,-0.008059517,0.38823494,255,190,1,1,0
2884953861,12,nan,nan,-0.006819591,0.38823494,255,190,1,1,0
2885005478,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2885086867,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2885170579,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2885222902,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2885303876,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2885403051,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2885486982,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2885572065,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2885653883,12,nan,nan,-0.008059517,0.38728616,255,190,1,1,0
2885738861,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2885854638,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2885952916,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2886054886,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2886138866,12,nan,nan,-0.006819591,0.38823494,255,190,1,1,0
2886219865,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2886303860,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2886419865,12,nan,nan,-0.0074395537,0.38728616,255,190,1,1,0
2886486862,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2886586923,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2886652858,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2886703857,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2886787918,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2886891477,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2886954132,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2887020022,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2887086336,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2887137347,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2887219863,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2887303313,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2887388860,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2887453339,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2887553027,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2887636860,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2887737683,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2887819327,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2887869036,12,nan,nan,-0.006199628,0.38870934,255,190,1,1,0
2887952859,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2888035464,12,nan,nan,-0.006819591,0.38728616,255,190,1,1,0
2888094892,12,nan,nan,-0.006819591,0.38823494,255,190,1,1,0
2888169860,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2888252091,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2888337858,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2888418856,12,nan,nan,-0.006819591,0.38728616,255,190,1,1,0
2888468855,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2888568854,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2888652095,12,nan,nan,-0.006819591,0.38823494,255,190,1,1,0
2888736054,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2888818886,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2888869204,12,nan,nan,-0.006819591,0.38823494,255,190,1,1,0
2888952979,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2889036651,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2889118622,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
2889236033,12,nan,nan,-0.006199628,0.38823494,255,190,1,1,0
2889319560,12,nan,nan,-0.006819591,0.38776055,255,190,1,1,0
2889385859,12,nan,nan,-0.006199628,0.38776055,255,190,1,1,0
