timestamp,lat,lon,icao_address,altitude,heading,hor_velocity,ver_velocity,flags,squawk,altitude_type,callsign[0],callsign[1],callsign[2],callsign[3],callsign[4],callsign[5],callsign[6],callsign[7],callsign[8],emitter_type,tslc,uas_id[0],uas_id[1],uas_id[2],uas_id[3],uas_id[4],uas_id[5],uas_id[6],uas_id[7],uas_id[8],uas_id[9],uas_id[10],uas_id[11],uas_id[12],uas_id[13],uas_id[14],uas_id[15],uas_id[16],uas_id[17]
2888825947,0.0,0.0,10738640,3550.9192,-3.1415927,0.0,0.0,258,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2888833865,39.547478399999996,-76.7756352,11075814,1188.7201,1.2281884,77.68,1.3,319,1141,0,78,54,56,65,72,32,32,32,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2888842561,39.5462944,-76.8435776,11154913,8039.0996,1.1156145,216.06,10.07,319,7167,0,65,65,76,50,48,55,49,32,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2889816857,39.60776,-76.7624512,10517391,10972.801,0.9773843,190.34,0.32,271,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2889825911,0.0,0.0,10738640,3550.9192,-3.1415927,0.0,0.0,258,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2889833912,39.547478399999996,-76.7756352,11075814,1188.7201,1.2259192,77.159996,1.3,319,1141,0,78,54,56,65,72,32,32,32,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2889842935,39.5462944,-76.8435776,11154913,8039.0996,1.1156145,216.06,10.07,319,7167,0,65,65,76,50,48,55,49,32,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2890816857,39.60776,-76.7624512,10517391,10972.801,0.9773843,190.34,0.32,271,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2890826008,0.0,0.0,10738640,3550.9192,-3.1415927,0.0,0.0,258,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2890833862,39.547478399999996,-76.7756352,11075814,1188.7201,1.2259192,77.159996,1.3,319,1141,0,78,54,56,65,72,32,32,32,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2890842886,39.5462944,-76.8435776,11154913,8039.0996,1.1156145,216.06,9.42,319,7167,0,65,65,76,50,48,55,49,32,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2891817412,39.60776,-76.7624512,10517391,10972.801,0.9773843,190.34,-0.32,271,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2891825983,0.0,0.0,10738640,3550.9192,-3.1415927,0.0,0.0,258,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2891834372,39.547478399999996,-76.7756352,11075814,1188.7201,1.2259192,77.159996,1.3,319,1141,0,78,54,56,65,72,32,32,32,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2891842857,39.5462944,-76.8435776,11154913,8039.0996,1.1156145,216.06,9.42,319,7167,0,65,65,76,50,48,55,49,32,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2892816857,39.60776,-76.7624512,10517391,10972.801,0.9773843,190.34,-0.32,271,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2892826239,0.0,0.0,10738640,3550.9192,-3.1415927,0.0,0.0,258,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2892834997,39.547478399999996,-76.7756352,11075814,1188.7201,1.2259192,77.159996,1.3,319,1141,0,78,54,56,65,72,32,32,32,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2892843012,39.5462944,-76.8435776,11154913,8039.0996,1.1156145,216.06,9.42,319,7167,0,65,65,76,50,48,55,49,32,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2893816859,39.60776,-76.7624512,10517391,10972.801,0.9773843,190.34,-0.32,271,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2893825797,0.0,0.0,10738640,3550.9192,-3.1415927,0.0,0.0,258,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2893834410,39.547478399999996,-76.7756352,11075814,1188.7201,1.2259192,77.159996,1.3,319,1141,0,78,54,56,65,72,32,32,32,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2893843621,39.5462944,-76.8435776,11154913,8039.0996,1.1156145,216.06,9.42,319,7167,0,65,65,76,50,48,55,49,32,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
