timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
2876963280,2876963185,-0.016668566,-0.054865103,0.07426292
2876984283,2876984172,-0.022649245,-0.053192183,0.06185472
2877005292,2877005202,0.039770685,-0.024092086,0.037293512
2877023230,2877023142,-0.02841832,-0.016714424,0.033126093
2877044212,2877044127,0.010144211,-0.027550157,0.06077891
2877065254,2877065159,0.020388886,-0.018875826,0.09679103
2877086185,2877086097,0.017109247,-0.013748741,0.07588169
2877102715,2877102632,0.06308453,-0.04137127,0.043503493
2877123652,2877123570,0.02794236,-0.056509696,0.056039456
2877144650,2877144555,-0.014903144,-0.036403496,0.07538261
2877162712,2877162589,0.03626336,-0.04156397,0.06723732
2877183612,2877183527,0.041008104,-0.061505307,0.042478498
2877204596,2877204512,0.01759196,-0.03742219,0.048949435
2877225581,2877225496,-0.08276668,-0.025225287,0.07213305
2877243600,2877243484,0.0067349216,-0.04910191,0.06825869
2877264553,2877264468,-0.027830973,-0.02388233,0.032185644
2877285543,2877285453,-0.024422716,0.020455176,0.052452262
2877303528,2877303443,-0.0135830855,-0.0023280466,0.060960863
2877324510,2877324426,-0.027903449,0.007943497,0.04873769
2877345497,2877345410,0.028485285,0.048760545,0.052349072
2877366491,2877366395,0.005925801,0.06315431,0.030864047
2877382969,2877382883,-0.015325276,0.017835485,0.06635798
2877403958,2877403868,0.04103966,0.0534926,0.053757265
2877424995,2877424900,-0.036711715,0.076132,0.012260477
2877442928,2877442840,-0.015434066,0.037328307,0.050064694
2877463913,2877463825,-0.03278296,0.051202126,0.054035198
2877484996,2877484857,-0.022787528,0.0675421,0.049176194
2877505886,2877505795,0.029350815,0.054769717,0.027512254
2877523876,2877523783,-0.020598065,0.050005756,0.01639783
2877544915,2877544814,-0.062081784,0.026218714,0.033160996
2877565897,2877565752,-0.01877117,0.040330082,0.056734525
2877582372,2877582287,-0.010032866,-0.0009250399,0.011090825
2877603311,2877603225,-0.01819131,0.015161705,-0.003486786
2877624293,2877624210,-0.040548064,0.021239221,0.00466381
2877645307,2877645194,-0.10669721,0.010235833,0.013465601
2877663273,2877663182,-0.13781713,-0.0071816677,0.044946413
2877684265,2877684166,-0.060549106,-0.003673254,0.031043613
2877705242,2877705151,-0.06530288,0.018399144,-0.013902694
2877723229,2877723139,-0.062953755,0.008746545,-0.00123912
2877744210,2877744123,-0.063822106,0.033568457,0.028113438
2877765195,2877765108,-0.06075496,0.009531905,-0.001991986
2877786180,2877786093,-0.06297392,-0.002986677,-0.0015188383
2877802671,2877802584,0.03420269,-0.006211691,-0.015576275
2877823728,2877823568,-0.075064175,0.006470697,-0.031088507
2877844689,2877844598,-0.0075878855,-0.025362136,0.0025102599
2877862650,2877862538,-0.01742884,-0.022879876,-0.014542114
2877883608,2877883523,-0.017961187,0.008741348,-0.031517103
2877904644,2877904555,0.04973349,0.02001003,-0.01604097
2877922584,2877922495,0.038639173,0.03943997,-0.028244453
2877943586,2877943480,-0.0021628265,0.020239428,-0.041916236
2877964598,2877964511,0.09328766,0.02579599,-0.024328522
2877985536,2877985449,0.041677386,0.007711623,-0.010456275
2878003546,2878003439,0.07127878,0.018359678,-0.015578092
2878024634,2878024468,0.11326638,0.02367137,-0.02446594
2878042496,2878042409,0.053692427,0.036814164,-0.05411621
2878066490,2878066391,0.049388897,0.030153455,-0.053745978
2878082968,2878082879,-0.01886805,0.010475169,-0.0073000574
2878103952,2878103864,-0.029354021,0.02787632,0.009102548
2878124938,2878124849,-0.050486743,0.0106472345,0.0069088377
2878142930,2878142837,0.063622646,0.009512875,-0.030483095
2878163910,2878163825,-0.0033643455,-0.016824262,-0.02927038
2878184909,2878184806,-0.020509252,0.0025544136,-0.021720724
2878202883,2878202793,-0.08970073,0.035185106,-0.009414271
2878223873,2878223778,-0.110217735,0.055728223,-0.010599335
2878244858,2878244763,-0.07285163,0.015892517,-0.006622209
2878267344,2878267250,-0.0018933739,-1.4845631e-05,-0.0062508956
2878282319,2878282236,0.010523736,-0.018926816,-0.017331429
2878303310,2878303221,0.02761431,-0.024595695,-0.0409425
2878324347,2878324260,0.0011020456,-0.019565511,-0.039354082
2878345281,2878345191,0.007986457,-0.0055298256,-0.02627379
2878363339,2878363178,-0.0738049,-0.0221216,-0.0145872375
2878384297,2878384209,-0.069370486,-0.023263916,-0.010456086
2878405238,2878405148,-0.111693345,-0.04653458,-0.00027702254
2878423221,2878423134,-0.060589086,-0.022487987,0.0022352408
2878444274,2878444166,-0.07124377,-0.030053604,-0.009474323
2878465192,2878465104,-0.05194397,-0.032697104,-0.027131973
2878486178,2878486089,-0.076135635,-0.033605035,-0.024171913
2878502663,2878502577,-0.06955184,-0.042863343,0.0067605283
2878523655,2878523562,-0.04994442,-0.035666868,0.007757446
2878544637,2878544547,-0.047358535,-0.038060553,0.008132837
2878562643,2878562535,-0.027707897,-0.037579764,-0.0022536675
2878585105,2878585018,-0.019759677,-0.015902458,0.0020820778
2878604590,2878604506,-0.09669562,0.0010775167,-0.016613292
2878625572,2878625489,-0.07074176,0.007861439,-0.025366437
2878643575,2878643481,-0.1239505,0.03046137,0.01666409
2878664544,2878664461,-0.10011313,0.013017453,0.026432138
2878685534,2878685446,-0.12715998,-0.026007846,0.009121649
2878703565,2878703437,-0.06919099,-0.015886292,-0.027099203
2878724514,2878724418,-0.04964818,0.007564622,-0.027486926
2878745494,2878745407,-0.06495614,0.029725207,-0.014698476
2878766562,2878766434,-0.10512945,0.028119143,-0.013762025
2878782995,2878782876,-0.1276201,0.013995815,-0.0027394313
2878804000,2878803908,-0.070260465,0.020572923,-0.002842367
2878824944,2878824845,-0.042960007,0.01589834,-0.0020366474
2878842963,2878842833,-0.07449803,0.04271352,-0.039206397
2878863975,2878863866,-0.10754638,0.0490586,-0.038763873
2878884903,2878884807,-0.06823491,0.03866144,-0.02300685
2878902872,2878902789,-0.07581192,-0.0107990075,-0.00029260915
2878923953,2878923825,-0.05919022,-0.028720269,-0.008994404
2878944869,2878944759,-0.05159808,-0.02970591,-0.01865082
2878965837,2878965744,-0.03592182,-0.029037125,-0.020868508
2878982323,2878982232,-0.040395446,-0.03247895,-0.029415518
2879004848,2879004716,-0.014075546,-0.046425045,-0.031922527
2879024359,2879024202,-0.032958962,-0.05563507,-0.023176832
2879045287,2879045188,-0.009725692,-0.055801027,-0.014324339
2879063271,2879063174,-0.005174461,-0.063485034,-0.029721856
2879084249,2879084159,0.043770887,-0.07714538,-0.043710627
2879105268,2879105144,0.053744875,-0.08570089,-0.028771449
2879123223,2879123131,0.060381755,-0.044908937,-0.02028177
2879144224,2879144116,0.03277764,-0.041011773,-0.031617485
2879165187,2879165101,0.0328301,-0.026792642,-0.03966038
