timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
2888856747,2888855626,6684698,-0.0031407082,-0.0021444263,0.0010704689,0.34906584,2.150081e-09,2.1533932e-09,5.205156e-09,6946842,-0.064073265,-0.009190937,-0.0026075405,0.4,5.059146e-06,5.059146e-06,5.0591852e-06,8943875,0.03150931,-0.00040258735,-0.006938792,0.5,0.00010820627,7.699881e-05,0.0012533125,1,1,1
2888919691,2888918581,6684698,-0.0031680241,-0.0021493568,0.0010720866,0.34906584,2.1560367e-09,2.1592628e-09,5.2279283e-09,6946842,-0.06325914,-0.008256149,-0.0025463845,0.4,5.076541e-06,5.076541e-06,5.0765534e-06,8943875,0.031519122,-0.0004933226,-0.006897989,0.5,0.00010313601,7.566859e-05,0.0012530911,1,1,1
2889018628,2889013013,6684698,-0.0031782193,-0.0021437104,0.0010674276,0.34906584,2.1569535e-09,2.1601436e-09,5.2322777e-09,6946842,-0.062293705,-0.007711901,-0.0026051197,0.4,5.0741687e-06,5.0741687e-06,5.074182e-06,8943875,0.031107225,-0.00039714295,-0.0068072514,0.5,9.390407e-05,7.299123e-05,0.001252724,1,1,1
2889068165,2889066975,6684698,-0.0031750612,-0.0021423886,0.0010624839,0.34906584,2.1503703e-09,2.15353e-09,5.2160836e-09,6946842,-0.061939795,-0.0066172807,-0.002589128,0.4,5.0547196e-06,5.0547196e-06,5.0547646e-06,8943875,0.030865457,-0.00051218964,-0.0067429096,0.5,8.973477e-05,7.165977e-05,0.00125251,1,1,1
2889131075,2889129931,6684698,-0.0031809753,-0.002135897,0.0010580433,0.34906584,2.145517e-09,2.1485755e-09,5.210318e-09,6946842,-0.060978364,-0.005790475,-0.002401137,0.4,5.04451e-06,5.04451e-06,5.044534e-06,8943875,0.030846953,-0.0005193632,-0.006657831,0.5,8.5827705e-05,7.033128e-05,0.0012522582,1,1,1
2889201766,2889200379,6684698,-0.0031665955,-0.0021156112,0.0010462981,0.34906584,2.1285576e-09,2.1315454e-09,5.172013e-09,6946842,-0.05958461,-0.004973463,-0.0023569907,0.4,5.0029894e-06,5.0029894e-06,5.0029894e-06,8943875,0.030758087,-0.00048156135,-0.0065104575,0.5,7.879545e-05,6.772657e-05,0.0012516069,1,1,1
2889275009,2889273872,6684698,-0.003179184,-0.0021235251,0.001044655,0.34906584,2.134894e-09,2.137861e-09,5.1832925e-09,6946842,-0.05942685,-0.0038844103,-0.0023548598,0.4,5.008314e-06,5.008314e-06,5.0083677e-06,8943875,0.031000383,-0.00030143798,-0.0065760533,0.5,7.560156e-05,6.6437395e-05,0.0012511996,1,1,1
2889350213,2889342776,6684698,-0.0031874147,-0.002117643,0.0010406147,0.34906584,2.134987e-09,2.1379063e-09,5.1849676e-09,6946842,-0.05843304,-0.0033189023,-0.0022188032,0.4,5.005553e-06,5.005553e-06,5.0055996e-06,8943875,0.031047588,-0.00020624867,-0.006540566,0.5,7.259918e-05,6.515795e-05,0.0012507475,1,1,1
2889408987,2889402733,6684698,-0.003189675,-0.0021065332,0.0010351285,0.34906584,2.1289892e-09,2.131798e-09,5.1738747e-09,6946842,-0.057165675,-0.0025667406,-0.0021437658,0.4,4.990355e-06,4.990355e-06,4.990355e-06,8943875,0.031353306,-9.225749e-05,-0.0065996666,0.5,6.719507e-05,6.267406e-05,0.0012497413,1,1,1
2889468432,2889467186,6684698,-0.0032101972,-0.0021163025,0.0010367834,0.34906584,2.1401017e-09,2.1428976e-09,5.197095e-09,6946842,-0.056846492,-0.0016107135,-0.0021472736,0.4,5.0081594e-06,5.0081594e-06,5.0082085e-06,8943875,0.031328905,-7.794331e-05,-0.0064721038,0.5,6.474369e-05,6.146351e-05,0.0012492364,1,1,1
