timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,time_remaining_s,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,custom_faults,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,average_time_to_empty,manufacture_date,state_of_health,max_error,interface_error,faults,average_time_to_full,over_discharge_count,connected,source,priority,model,fw_version[0],fw_version[1],serial_number[0],serial_number[1],serial_number[2],serial_number[3],serial_number[4],serial_number[5],serial_number[6],serial_number[7],serial_number[8],serial_number[9],serial_number[10],serial_number[11],serial_number[12],serial_number[13],serial_number[14],serial_number[15],id,is_powering_off,is_required,warning,mode
2888162198,44.38356,44.38944,25.981007,26.002008,21.8719,6413.2627,0.32127306,1.0960448,528.40314,nan,12,3.6991198,3.6991198,3.6991198,3.6991198,3.6991198,3.6991198,3.6991198,3.6991198,3.6991198,3.6991198,3.6991198,3.6991198,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2888364814,44.460194,44.39406,21.717663,25.404709,21.908009,6414.6294,0.32114628,1.096212,527.737,nan,12,3.6995049,3.6995049,3.6995049,3.6995049,3.6995049,3.6995049,3.6995049,3.6995049,3.6995049,3.6995049,3.6995049,3.6995049,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2888567228,44.38083,44.388134,25.905876,25.917242,21.933489,6416.1587,0.32100326,1.0961163,526.4911,nan,12,3.699011,3.699011,3.699011,3.699011,3.699011,3.699011,3.699011,3.699011,3.699011,3.699011,3.699011,3.699011,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2888769653,44.37147,44.391006,26.427078,25.549429,21.952133,6417.5386,0.32087493,1.0962187,525.786,nan,12,3.6992505,3.6992505,3.6992505,3.6992505,3.6992505,3.6992505,3.6992505,3.6992505,3.6992505,3.6992505,3.6992505,3.6992505,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2888972223,44.404232,44.393105,24.559479,25.268951,21.98091,6418.925,0.32074592,1.0962989,525.06744,nan,12,3.6994255,3.6994255,3.6994255,3.6994255,3.6994255,3.6994255,3.6994255,3.6994255,3.6994255,3.6994255,3.6994255,3.6994255,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2889174588,44.41905,44.394493,23.714447,25.079355,22.006233,6420.3154,0.32061642,1.0963539,524.3343,nan,12,3.699541,3.699541,3.699541,3.699541,3.699541,3.699541,3.699541,3.699541,3.699541,3.699541,3.699541,3.699541,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2889377147,44.39331,44.394543,25.085144,25.054953,22.024527,6421.7217,0.32048532,1.0963643,523.5567,nan,12,3.6995451,3.6995451,3.6995451,3.6995451,3.6995451,3.6995451,3.6995451,3.6995451,3.6995451,3.6995451,3.6995451,3.6995451,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2889579591,44.40579,44.396507,24.23193,24.81546,22.045809,6423.0864,0.32035828,1.0964285,522.9268,nan,12,3.699709,3.699709,3.699709,3.699709,3.699709,3.699709,3.699709,3.699709,3.699709,3.699709,3.699709,3.699709,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2889781935,44.353725,44.39008,26.997623,25.411568,22.072184,6424.59,0.32021764,1.096306,521.81494,nan,12,3.6991732,3.6991732,3.6991732,3.6991732,3.6991732,3.6991732,3.6991732,3.6991732,3.6991732,3.6991732,3.6991732,3.6991732,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2889984361,44.40033,44.388004,24.41492,25.465746,22.111351,6426.035,0.3200829,1.0963312,520.9182,nan,12,3.6990004,3.6990004,3.6990004,3.6990004,3.6990004,3.6990004,3.6990004,3.6990004,3.6990004,3.6990004,3.6990004,3.6990004,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
