timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
2899512697,2899512420,3670026,3670026,-0.00040046088,0.0005855531,0.0033183163,-0.004172968,0.018457763,-0.05100792,4981,4981,0,2
2900010807,2900010476,3670026,3670026,-0.00036498252,-0.00015933877,0.0039963443,-0.018061759,0.0022993793,-0.054631032,4981,4981,0,2
2900513796,2900513512,3670026,3670026,0.00041434568,-0.0003604274,0.0039118794,-0.0020207064,-0.00076362165,-0.046171036,4980,4980,0,2
2901011977,2901011568,3670026,3670026,-0.0008790307,0.00052258227,0.0040014046,0.005407412,-0.0014568244,-0.057643738,4970,4970,0,2
2901509908,2901509625,3670026,3670026,0.0011745705,3.48552e-05,0.003520233,-0.009882855,-0.0063503706,-0.057419144,4981,4981,0,2
2902012948,2902012663,3670026,3670026,0.00012489638,-0.00055260985,0.004235754,0.005461051,0.012297446,-0.048448417,4980,4980,0,2
2902511035,2902510721,3670026,3670026,-0.00049549976,0.00027252277,0.0004010078,0.0022848097,-0.0018728339,-0.054196108,4981,4981,0,2
2903014040,2903013760,3670026,3670026,0.00069471815,-0.0002811673,-0.002053726,0.012062834,-0.0073923934,-0.041654557,4981,4981,0,2
2903512292,2903511818,3670026,3670026,0.00041295734,0.00015011067,0.00018077347,0.0018737144,-0.0028808983,-0.04623989,4980,4980,0,2
2904015142,2904014858,3670026,3670026,0.00090205204,0.00049528794,0.00046964496,0.005024072,-0.0059346803,-0.052211884,4980,4980,0,2
2904513208,2904512918,3670026,3670026,-5.5685225e-05,0.0001804964,-0.00020451573,-0.006674004,-0.005326304,-0.057586826,4980,4980,0,2
2905011296,2905010981,3670026,3670026,0.00015093463,0.00035888603,-9.786978e-05,0.001546579,0.014399371,-0.039473437,4984,4984,0,2
2905509369,2905509038,3670026,3670026,-9.7606244e-05,0.00064813095,-0.00017883984,0.007979486,0.009145964,-0.03917274,4978,4978,0,2
2906012444,2906012079,3670026,3670026,0.00038121626,5.974027e-05,0.00029430236,0.003970963,-0.0046660607,-0.04280513,4980,4980,0,2
2906510434,2906510140,3670026,3670026,0.0009534719,-0.00033703737,0.0006686051,-0.003988618,-0.007343399,-0.05170754,4980,4980,0,2
2907013687,2907013182,3670026,3670026,0.0004624473,-8.103986e-05,-0.00010480067,-0.0051499302,-0.008847202,-0.04584851,4980,4980,0,2
2907511581,2907511244,3670026,3670026,-0.00043552523,-0.00043354498,4.797536e-05,0.0017470388,0.0034242088,-0.043517303,4981,4981,0,2
2908014709,2908014286,3670026,3670026,0.00022005184,-0.000119218596,0.00036814736,-0.009126565,-0.0021808823,-0.041082732,4976,4976,0,2
2908512669,2908512348,3670026,3670026,0.00017093272,-0.000105871484,3.5085395e-05,0.0009094018,-0.00077077554,-0.046002027,4980,4980,0,2
2909010684,2909010411,3670026,3670026,6.052897e-06,0.00028552732,2.5244053e-05,-0.001344119,-0.0029766401,-0.04780979,4981,4981,0,2
2909513868,2909513454,3670026,3670026,2.4327504e-05,-0.00011982171,-3.4884644e-05,0.00067379395,-0.0029449032,-0.047523685,4981,4981,0,2
2910011809,2910011517,3670026,3670026,2.0667328e-05,-0.00015110715,-7.887572e-05,-0.00225168,-0.0034873155,-0.047881648,4973,4973,0,2
2910514846,2910514560,3670026,3670026,3.2976066e-05,7.505636e-05,-5.3838325e-05,-0.00014424781,-0.0032477332,-0.048066262,4980,4980,0,2
2911012981,2911012624,3670026,3670026,6.133744e-05,-9.2763985e-05,-3.3914403e-05,-0.0007499892,-0.0022028573,-0.04866365,4981,4981,0,2
