timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
2887901667,0.12235599,0.3260247,-2.7833767,-1.1414913,-0.76540935,-0.024530876,0.08637905,-0.03330207,-0.30201542,0.07311598,0.15007015,0.0,0.0,0.0,-0.015152964,0.0036684345,-0.4920036
2888006673,0.12235599,0.3260247,-2.7833767,-1.2180839,-0.76799166,-0.017071163,0.07895071,-0.026040554,-0.26421946,0.01885629,0.08065778,0.0,0.0,0.0,-0.013353398,0.00095297885,-0.49558294
2888093916,0.12235599,0.3260247,-2.7833767,-1.2819035,-0.76540935,-0.012347286,0.06968888,-0.021155596,-0.44311467,-0.046932213,0.076414004,0.0,0.0,0.0,-0.022403177,-0.0023728185,-0.49579918
2888205861,0.12235599,0.3260247,-2.7833767,-1.3648671,-0.76540935,-0.00762866,0.05365095,-0.015667677,-0.42864022,-0.007500506,0.11411375,0.0,0.0,0.0,-0.021586785,-0.00037773355,-0.49387822
2888295650,0.12235599,0.3260247,-2.7833767,-1.4314457,-0.76540935,-0.0056794216,0.037655745,-0.011479616,-0.5042096,-0.08367355,0.0952331,0.0,0.0,0.0,-0.02544295,-0.004222256,-0.49484026
2888405550,0.12235599,0.3260247,-2.7833767,-1.513053,-0.76799166,-0.00512395,0.01498248,-0.008553505,-0.3777445,-0.11323325,-0.0026947632,0.0,0.0,0.0,-0.019253494,-0.0057714563,-0.49983016
2888500272,0.12235599,0.3260247,-2.7833767,-1.584205,-0.76540935,-0.003954656,-0.0058085886,-0.006405354,-0.34114343,-0.20215257,0.09436755,0.0,0.0,0.0,-0.017215459,-0.010201423,-0.49488437
2888601818,0.12235599,0.3260247,-2.7833767,-1.6615335,-0.76799166,-0.0045454325,-0.032709856,-0.0014166835,-0.32058555,-0.23550332,0.16072538,0.0,0.0,0.0,-0.016067285,-0.011803086,-0.49150315
2888700515,0.12235599,0.3260247,-2.7833767,-1.7356412,-0.76540935,-0.0049950727,-0.05958301,0.0023992057,-0.350706,-0.2207533,0.094341196,0.0,0.0,0.0,-0.017698077,-0.011140126,-0.4948857
2888801707,0.12235599,0.3260247,-2.7833767,-1.8108069,-0.76799166,-0.0072160945,-0.087816335,0.0067791934,-0.5129554,-0.3235369,0.12779123,0.0,0.0,0.0,-0.025797134,-0.016271053,-0.4931813
2888899919,0.12235599,0.3260247,-2.7833767,-1.8847519,-0.7500416,-0.009572534,-0.11866597,0.011787891,-0.3509018,-0.41986543,0.15364364,0.0,0.0,0.0,-0.017599735,-0.021058656,-0.491864
2888996367,0.12235599,0.3260247,-2.7833767,-1.9501791,-0.72739226,-0.013729586,-0.14762755,0.016973972,-0.45565563,-0.46087116,0.23506877,0.0,0.0,0.0,-0.022661263,-0.022920646,-0.487715
2889102546,0.12235599,0.3260247,-2.7833767,-2.02911,-0.72739226,-0.020554598,-0.17977028,0.023349285,-0.49094015,-0.45614773,0.2985514,0.0,0.0,0.0,-0.0242543,-0.022535421,-0.4844803
2889201677,0.12235599,0.3260247,-2.7833767,-2.0996227,-0.7224238,-0.027729817,-0.20931299,0.02846694,-0.3498308,-0.50968134,0.24618824,0.0,0.0,0.0,-0.01737817,-0.025318895,-0.48714843
2889304734,0.12235599,0.3260247,-2.7833767,-2.170558,-0.7199484,-0.036440067,-0.2374735,0.032341957,-0.4747615,-0.5249655,0.2585677,0.0,0.0,0.0,-0.023553286,-0.026043946,-0.48651764
2889394776,0.12235599,0.3260247,-2.7833767,-2.2316775,-0.7199484,-0.044118777,-0.25931704,0.0346632,-0.4045691,-0.5992537,0.23940194,0.0,0.0,0.0,-0.020111293,-0.029789146,-0.48749423
2889499773,0.12235599,0.3260247,-2.7833767,-2.3005354,-0.7125569,-0.05507274,-0.282727,0.03650546,-0.49753377,-0.5705754,0.1634461,0.0,0.0,0.0,-0.024929332,-0.028589142,-0.4913645
2889598390,0.12235599,0.3260247,-2.7833767,-2.3678656,-0.7003531,-0.06731096,-0.30315095,0.037105083,-0.43841875,-0.56196314,0.10250039,0.0,0.0,0.0,-0.022105793,-0.028335102,-0.49446997
2889699209,0.12235599,0.3260247,-2.7833767,-2.434085,-0.7003531,-0.08024182,-0.32126948,0.03579569,-0.49986216,-0.5053635,0.071616165,0.0,0.0,0.0,-0.025284594,-0.025562871,-0.49604365
2889800818,0.12235599,0.3260247,-2.7833767,-2.4991255,-0.5816019,-0.09321966,-0.33726904,0.035445213,-0.4975764,-0.54730505,0.184037,0.0,0.0,0.0,-0.024877908,-0.02736425,-0.49031532
2889900089,0.12235599,0.3260247,-2.7833767,-2.5533838,-0.5773185,-0.10473628,-0.34865263,0.036462307,-0.3936746,-0.47487006,0.12175869,0.0,0.0,0.0,-0.019810162,-0.023896009,-0.49348867
2890004992,0.12235599,0.3260247,-2.7833767,-2.614416,-0.5562002,-0.117078654,-0.35860008,0.036744595,-0.4246633,-0.4803269,0.15057127,0.0,0.0,0.0,-0.021306213,-0.024098966,-0.49202055
2890095010,0.12235599,0.3260247,-2.7833767,-2.6620355,-0.32142717,-0.12586887,-0.36367962,0.0375278,-0.43824056,-0.45482907,0.16418082,0.0,0.0,0.0,-0.021956507,-0.022787618,-0.49132708
2890204221,0.12235599,0.3260247,-2.7833767,-2.7088206,-0.21789734,-0.1358508,-0.36353925,0.03862667,-0.47389063,-0.41182628,0.21904716,0.0,0.0,0.0,-0.023607485,-0.020515667,-0.48853138
