timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
2879601442,2879595291,3.664942e-07,0.00075251574,0.027508684,0.0020206203,0.009119074,0.012231513,8390807,0,0.13192415,0.16539381,0.029237295,0.009506518,0.015480531,0.0093396725,0.0,0.00505051,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2879806494,2879805140,1.9950218e-07,0.000554755,0.02102432,0.0022246074,0.009409118,0.011875442,8390807,0,0.13281107,0.16590473,0.0323594,0.028285855,0.015182152,0.008962684,0.0,0.00012851154,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2879995105,2879994004,1.675837e-07,0.00053722446,0.020749465,0.00064062217,0.013360292,0.015827594,8390807,0,0.13274217,0.16535978,0.025852984,0.018297601,0.015508505,0.0073366794,0.0,0.004895424,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2880205009,2880203855,1.6770137e-07,0.0005293037,0.020681037,0.00047812206,0.016492896,0.019152183,8390807,0,0.13353258,0.16587535,0.03583123,0.021903079,0.010145633,0.0063979137,0.0,0.0018314339,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2880398207,2880397214,1.6916853e-07,0.00059055374,0.01968406,0.00025415746,0.01470473,0.017738745,8390807,0,0.13739981,0.17076412,0.021539906,0.025435932,0.012052818,0.007229516,0.0,0.00454346,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2880596420,2880595118,1.9732467e-07,0.000663433,0.022419974,0.00030650868,0.0170519,0.019756552,8390807,0,0.13360165,0.16526778,0.018452719,0.033755418,0.010581131,0.006583572,0.0,0.014209871,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2880796915,2880795929,1.7057938e-07,0.00059963786,0.021721441,0.0003262758,0.013920195,0.017357735,8390807,0,0.1345437,0.16526283,0.021902772,0.03155847,0.008015641,0.0028492177,0.0,0.018963013,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2880996659,2880995284,2.2606442e-07,0.0007294835,0.027038466,0.00035006503,0.013250581,0.016745226,8390807,0,0.13477167,0.16528541,0.006432339,0.021757212,0.006312722,0.0032754,0.0,0.0058679823,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2881200147,2881199137,1.5903656e-07,0.000694506,0.024648918,0.0006485796,0.011516537,0.0149211325,8390807,0,0.13493493,0.16530815,0.018587358,0.040170364,0.010362626,0.006991442,0.0,0.0030239855,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
2881400402,2881398494,1.3892546e-07,0.00065907557,0.022004483,0.0008515292,0.008463725,0.011370403,8390807,0,0.13438135,0.1653014,0.03643359,0.012073716,0.0102849705,0.004924482,0.0,0.0041532633,0.0,0.0,6946842,6684698,6780705,8943875,0,0,895,2,1,2,0,7,0,0,0,0,0,0,0
