timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
2901770261,-0.056978453,-0.04544401,0.78617173,4497,0,1.3867224,0.83909583,-8.860775,4968,0
2901776256,-0.121356286,-0.03622788,0.79349804,5995,0,0.23957647,-2.7520442,-10.508811,4978,0
2901780753,0.093463406,0.034508817,0.7804894,4497,0,-1.7631378,0.23008545,-12.881752,5033,0
2901791248,-0.07089175,-0.04360261,0.7961648,5998,0,-1.5794605,4.304211,-11.156809,5000,0
2901795742,-0.056383368,-0.07027848,0.79686826,4494,0,0.81790626,-1.1636429,-8.969131,5018,0
2901806235,0.09992212,0.04360071,0.78482795,5991,0,-0.53696674,0.7379969,-12.445518,5617,0
2901810731,-0.10612984,-0.05679404,0.79906803,4496,0,0.7445032,-1.027132,-10.22981,4375,0
2901815228,0.026657524,-0.023555472,0.806429,4497,0,-0.60993063,3.8919272,-10.335722,4991,0
2901821224,-0.07939318,-0.028957622,0.7890472,5996,0,1.2839546,-2.960653,-9.589984,5006,0
2901825720,-0.04923541,0.021118797,0.8336864,4496,0,-0.13276896,2.9459195,-9.357225,5032,0
2901830217,0.06478099,-0.008577667,0.7804988,4497,0,0.37669122,-2.8877213,-10.422204,4986,0
2901836213,-0.059060737,0.019268105,0.7838066,5996,0,-0.8531711,-0.32547924,-10.818868,4984,0
2901840711,0.10415032,-0.07000587,0.7913709,4498,0,0.49084422,1.6263849,-10.493096,5014,0
2901851202,0.03536968,-0.00071343395,0.8581179,5995,0,0.7306523,5.075676,-9.783573,5003,0
2901855700,-0.028268874,-0.03159223,0.78432155,4498,0,-0.47416317,-5.1422987,-11.796629,5053,0
2901866191,0.15901849,-0.07205563,0.7776846,5995,0,0.40264505,-0.04635598,-9.924523,5016,0
2901870689,-0.16879363,-0.1586053,0.8370361,4498,0,0.029441264,-1.6437739,-9.365201,5109,0
