timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
2878555494,2878555040,0.9909018,0.002710316,0.014787514,0.13374427,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2878604941,2878604506,0.99089044,0.0010390152,0.014073292,0.13392907,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2878649845,2878649472,0.9908683,-0.00068179244,0.013822186,0.13412131,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2878703809,2878698983,0.990852,-0.0031507344,0.01342047,0.13424729,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2878754832,2878754396,0.9908421,-0.0055458667,0.013203053,0.1342644,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2878804267,2878803908,0.99083865,-0.0077154054,0.013446144,0.13415866,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2878853779,2878853325,0.9908438,-0.00993882,0.013994706,0.13391837,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2878898650,2878898293,0.9908742,-0.011512739,0.014027638,0.13356312,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2878954095,2878953800,0.990924,-0.012888627,0.01368481,0.13310234,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2879003647,2879003217,0.990989,-0.013635148,0.012570715,0.132653,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2879048710,2879048185,0.9910672,-0.013853928,0.011290163,0.1321607,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2879102537,2879102146,0.9912011,-0.012859357,0.009567033,0.13139087,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2879147577,2879147113,0.99130315,-0.011656753,0.008469474,0.13080719,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2879201496,2879201121,0.99139214,-0.01071938,0.007899435,0.13024741,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2879255350,2879250539,0.9914627,-0.010092231,0.007870123,0.12976073,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2879301816,2879301503,0.99152136,-0.009009151,0.0071557476,0.12943351,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2879349881,2879349468,0.9915824,-0.00694861,0.005988916,0.12915207,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2879405205,2879404928,0.99164015,-0.0037902116,0.0045573837,0.12889789,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2879450370,2879449896,0.9916406,-0.0025840881,0.0025110312,0.12898064,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2879504195,2879499360,0.9916442,-0.0006496624,-0.0012008072,0.12899624,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2879547887,2879547326,0.99162173,0.0012126999,-0.005051154,0.12907125,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2879601606,2879601287,0.9915814,0.0026792395,-0.007189915,0.12925793,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2879651319,2879650799,0.9915714,0.0036851063,-0.006637085,0.12933922,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2879696153,2879695766,0.99157435,0.003966962,-0.005275727,0.12937102,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2879751465,2879751179,0.99156433,0.0038776612,-0.0036523342,0.12950577,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2879805695,2879805140,0.9915439,0.004274887,-0.0029830271,0.12966788,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2879855017,2879854609,0.99151075,0.005156984,-0.002722209,0.1298943,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2879899977,2879899572,0.99148536,0.0056321924,-0.0023632627,0.13007514,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2879955348,2879955032,0.9914268,0.004740309,-0.001864817,0.13056451,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2879998907,2879998501,0.99140614,0.004492967,-0.0012632115,0.13073683,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2880054388,2880053961,0.991369,0.0035542313,-0.00011287162,0.13105272,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2880103886,2880103429,0.99133074,0.0026366208,0.0017910509,0.13135168,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2880148692,2880148393,0.99127865,0.0020076917,0.0034327237,0.13172244,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2880204190,2880203855,0.99124795,0.001047423,0.004872329,0.13191988,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2880247854,2880247322,0.99121326,0.0010535785,0.0057963645,0.13214211,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2880303161,2880302829,0.99120414,0.000833055,0.0056107086,0.13222034,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2880352646,2880352247,0.9912052,0.0013096094,0.004995294,0.13223346,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2880402376,2880401711,0.9912006,0.0017863609,0.0048560845,0.13226719,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2880451532,2880451175,0.99120414,0.0006221693,0.004612882,0.13226,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2880507053,2880506635,0.9912124,-0.0025687993,0.0037673013,0.13220192,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2880555127,2880554601,0.99124354,-0.0039755497,0.0024149767,0.13196404,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2880599973,2880599568,0.9912893,-0.0043251016,0.0011270309,0.13162628,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2880655362,2880655075,0.9913159,-0.0048074247,0.0011160558,0.13140951,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2880704846,2880704498,0.99135333,-0.0055659288,0.0029839983,0.13106804,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2880754250,2880752505,0.99137354,-0.006519137,0.0052863914,0.13079765,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2880796418,2880795929,0.99140346,-0.0074558393,0.0066788397,0.13045716,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2880856270,2880855884,0.9914214,-0.008668676,0.0065310127,0.130253,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2880904125,2880899353,0.9914676,-0.009171786,0.00609478,0.1298878,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2880950686,2880950316,0.9915113,-0.0087831225,0.006066794,0.12958199,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2881000126,2880999827,0.9915194,-0.009214641,0.006475747,0.12946995,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2881055723,2881055253,0.9915263,-0.010435448,0.0064388793,0.12932631,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2881100587,2881100208,0.9915091,-0.010511908,0.006432729,0.12945251,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2881152988,2881148174,0.9914812,-0.010705618,0.0071464814,0.12961236,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2881204021,2881203634,0.9914471,-0.010343239,0.008358595,0.12983029,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2881249004,2881248603,0.9914015,-0.010011371,0.00964617,0.13011518,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2881302877,2881298066,0.9913524,-0.009091653,0.011076061,0.13044208,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2881353913,2881353526,0.9913067,-0.008320102,0.011686481,0.13078746,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2881398829,2881398494,0.9912646,-0.007961361,0.011139774,0.1311757,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2881454317,2881453954,0.99121225,-0.00810494,0.010011021,0.13165307,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2881503747,2881503422,0.99115914,-0.008454078,0.008572418,0.13213137,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2881554947,2881554428,0.99109703,-0.00895899,0.0077503594,0.13261361,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2881604142,2881599396,0.99108166,-0.008651132,0.0073144776,0.13277397,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2881653652,2881653310,0.9910429,-0.0076769176,0.0070885364,0.13313487,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2881698722,2881698278,0.99104583,-0.005907511,0.006723095,0.13322188,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2881754084,2881753739,0.9910021,-0.0051019154,0.0069885496,0.13356711,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2881796180,2881795708,0.99097735,-0.0053257677,0.007893122,0.13369066,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2881850044,2881849670,0.9909456,-0.0057873577,0.00925229,0.13382065,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2881901166,2881900632,0.9909391,-0.0057176333,0.009475175,0.1338555,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2881955000,2881954594,0.9909716,-0.0049639437,0.008708519,0.13369721,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2882003036,2882002559,0.99100256,-0.00420151,0.008405841,0.13351302,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2882052504,2882052023,0.9910208,-0.0037418166,0.008528609,0.13338344,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2882097377,2882096991,0.9910181,-0.0036124864,0.009791191,0.13332017,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2882152796,2882152451,0.99102885,-0.002852964,0.011650024,0.13310881,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2882198082,2882197429,0.9910421,-0.0021994319,0.012522128,0.13294372,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2882256358,2882255883,0.9910673,-0.00036194152,0.012076659,0.13281468,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2882301185,2882300844,0.99109286,0.0004924578,0.010368765,0.13276784,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2882346164,2882345812,0.991123,0.0023517525,0.008350747,0.13266514,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2882401617,2882401321,0.9911264,0.003738679,0.0066247485,0.13270456,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2882451086,2882450736,0.9910992,0.0035415406,0.0062837084,0.1329299,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2882500491,2882500201,0.9910821,0.0025221794,0.0063339667,0.13307837,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2882550018,2882549665,0.9910611,0.0023228575,0.0067587625,0.133218,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2882602552,2882597631,0.9910521,0.00331941,0.006547072,0.13327378,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2882649043,2882648641,0.9910416,0.0055000926,0.006124274,0.13329986,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2882702858,2882698058,0.991024,0.007024708,0.005210692,0.13339737,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2882754023,2882753565,0.991002,0.0079161925,0.004132549,0.13354918,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2882798930,2882798533,0.9910166,0.008004094,0.0029132494,0.13346751,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2882852865,2882852450,0.99101347,0.008161071,0.002020824,0.13349782,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2882902411,2882901912,0.99101716,0.008521383,0.0014880545,0.13345508,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2882956314,2882951376,0.99102587,0.00856493,0.0008471112,0.13339318,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2883001267,2883000889,0.9910385,0.008835032,-0.0002595849,0.13328372,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2883046266,2883045855,0.9910664,0.009396119,-0.00087073917,0.13303527,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2883106136,2883105812,0.9910727,0.009537829,-0.00057577115,0.13297935,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2883155526,2883155230,0.99110705,0.008513359,-0.000109846376,0.13279423,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2883200486,2883200197,0.99115294,0.0072833397,0.0005895449,0.13252398,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2883250019,2883249661,0.9911921,0.005892036,0.0012878504,0.13229454,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2883305440,2883305122,0.99122703,0.004383863,0.0015366013,0.13208868,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2883348893,2883348590,0.991256,0.0038729804,0.0017162466,0.13188523,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2883402976,2883398103,0.9912814,0.003960369,0.002474452,0.13167977,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2883453947,2883453515,0.99133617,0.004169188,0.0035679778,0.13123482,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2883498835,2883498482,0.9913678,0.00400687,0.003966858,0.1309887,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2883554256,2883553942,0.9914214,0.005138769,0.004396433,0.13052927,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2883603760,2883603407,0.9914457,0.005486471,0.0050645387,0.13030587,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2883648850,2883648374,0.9914576,0.005321136,0.006206387,0.13017377,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2883704277,2883703834,0.9914741,0.005050672,0.008048607,0.12995748,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2883753797,2883753299,0.99147975,0.004737432,0.009401099,0.12983526,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
2883803248,2883802810,0.9914876,0.0038773709,0.010120815,0.12974945,0.9999936,-8.374685e-10,-1.8613224e-11,-0.0035753585,7
