timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
2879601179,-0.01279928,0.0018199856,0.2645311,0.0,0.9912442,-0.006463705,5.804593e-05,0.13188326,0.0,0.0,-0.51507205,0,0,0,0,0
2879646942,-0.012092558,0.005452246,0.26453114,0.0,0.9912417,-0.0063529247,0.0019048821,0.1318937,0.0,0.0,-0.5120229,0,0,0,0,0
2879696545,-0.007556394,0.006310277,0.26453114,0.0,0.99125206,-0.0041612666,0.002629287,0.13189048,0.0,0.0,-0.5062331,0,0,0,0,0
2879750506,-0.0066154003,0.007339651,0.2645311,0.0,0.99125195,-0.0037627553,0.0032015275,0.13189067,0.0,0.0,-0.50615686,0,0,0,0,0
2879806349,-0.0151598975,0.00916898,0.26453114,0.0,0.9912222,-0.008118177,0.0035446757,0.13190952,0.0,0.0,-0.5037053,0,0,0,0,0
2879855418,-0.018408628,0.0036765505,0.2645311,0.0,0.99121976,-0.009366197,0.0006082929,0.13189119,0.0,0.0,-0.4982509,0,0,0,0,0
2879896269,-0.009617958,0.0086939465,0.26453114,0.0,0.9912421,-0.005340184,0.003674741,0.13189821,0.0,0.0,-0.4974163,0,0,0,0,0
2879955794,-0.01732704,0.009560239,0.2645311,0.0,0.9912117,-0.00921802,0.0035956523,0.13191484,0.0,0.0,-0.49253026,0,0,0,0,0
2879995019,-0.008938998,0.0090479655,0.26453114,0.0,0.991243,-0.0050270166,0.0038949775,0.13189764,0.0,0.0,-0.4952827,0,0,0,0,0
2880054858,-0.028280448,0.012230888,0.26453114,0.0,0.9911366,-0.01482241,0.0041966666,0.13195032,0.0,0.0,-0.49456525,0,0,0,0,0
2880104435,-0.028731748,0.008862296,0.26453114,0.0,0.99114525,-0.014824088,0.0024974858,0.13192846,0.0,0.0,-0.49391815,0,0,0,0,0
2880144871,-0.021825764,0.005204067,0.26453114,0.0,0.9911995,-0.011160448,0.0011399899,0.13190009,0.0,0.0,-0.49514264,0,0,0,0,0
2880204892,-0.024182139,0.015287158,0.2645311,0.0,0.99115205,-0.012992774,0.0059817024,0.13195837,0.0,0.0,-0.49520662,0,0,0,0,0
2880248281,-0.024501309,0.010539072,0.26453114,0.0,0.991169,-0.012838073,0.0036075374,0.1319325,0.0,0.0,-0.4943524,0,0,0,0,0
2880301949,-0.02719578,0.006915958,0.26453114,0.0,0.9911619,-0.013934622,0.0016342252,0.13191389,0.0,0.0,-0.4943145,0,0,0,0,0
2880348895,-0.029518526,0.0076847407,0.26453114,0.0,0.9911429,-0.015136387,0.001862015,0.13192114,0.0,0.0,-0.49266028,0,0,0,0,0
2880398008,-0.03861128,0.010405331,0.26453114,0.0,0.9910543,-0.019821566,0.002610399,0.13195345,0.0,0.0,-0.4910054,0,0,0,0,0
2880451953,-0.029956197,0.005155318,0.2645311,0.0,0.9911461,-0.015186573,0.0005796205,0.13190328,0.0,0.0,-0.4905299,0,0,0,0,0
2880506518,-0.034538627,0.00841804,0.26453114,0.0,0.9910995,-0.017672474,0.0018942752,0.13193148,0.0,0.0,-0.4905493,0,0,0,0,0
2880555456,-0.02844186,0.009691523,0.26453114,0.0,0.9911447,-0.014735072,0.0029275578,0.13193367,0.0,0.0,-0.49047986,0,0,0,0,0
2880596307,-0.023057096,0.019125653,0.26453114,0.0,0.9911399,-0.012688122,0.007958243,0.13197474,0.0,0.0,-0.48993948,0,0,0,0,0
2880655715,-0.023585679,0.012173423,0.26453114,0.0,0.9911689,-0.012492007,0.0044779135,0.1319398,0.0,0.0,-0.48222715,0,0,0,0,0
2880705433,-0.028524373,0.01224449,0.26453114,0.0,0.99113476,-0.014944187,0.004187314,0.13195091,0.0,0.0,-0.478238,0,0,0,0,0
2880754798,-0.028781474,0.011425398,0.26453114,0.0,0.991136,-0.015017628,0.0037644275,0.13194594,0.0,0.0,-0.47886127,0,0,0,0,0
2880796830,-0.013501591,0.014024881,0.2645311,0.0,0.9912125,-0.007616391,0.006060709,0.13192093,0.0,0.0,-0.48119673,0,0,0,0,0
2880856649,-0.028302751,0.02175329,0.26453114,0.0,0.99108744,-0.015460717,0.008914239,0.13201179,0.0,0.0,-0.48510838,0,0,0,0,0
2880895614,-0.020048216,0.017974088,0.26453114,0.0,0.9911639,-0.011121123,0.007586074,0.13195759,0.0,0.0,-0.4873414,0,0,0,0,0
2880949845,-0.02345099,0.021779642,0.2645311,0.0,0.99112195,-0.013058151,0.009247516,0.13198993,0.0,0.0,-0.4924934,0,0,0,0,0
2880996572,-0.015588943,0.013774818,0.26453114,0.0,0.991205,-0.008634408,0.005799088,0.13192633,0.0,0.0,-0.4943643,0,0,0,0,0
2881056138,-0.007301511,0.017890466,0.26453114,0.0,0.9912151,-0.004798391,0.008385483,0.13190646,0.0,0.0,-0.49863467,0,0,0,0,0
2881099682,-0.016084632,0.01562535,0.2645311,0.0,0.9911951,-0.009002036,0.006683528,0.13193423,0.0,0.0,-0.49924406,0,0,0,0,0
2881153459,-0.017081829,0.019749573,0.26453114,0.0,0.99117005,-0.00976802,0.008661712,0.13195261,0.0,0.0,-0.49852297,0,0,0,0,0
2881200061,-0.011380156,0.01478522,0.26453114,0.0,0.99121696,-0.006615108,0.0065774703,0.13191622,0.0,0.0,-0.49587134,0,0,0,0,0
2881249416,-0.009483029,0.01546691,0.26453114,0.0,0.99122006,-0.0057198107,0.0070404545,0.13191119,0.0,0.0,-0.4945013,0,0,0,0,0
2881303325,-0.011520034,0.018158581,0.26453114,0.0,0.99120146,-0.0069067823,0.00824012,0.13192448,0.0,0.0,-0.49348482,0,0,0,0,0
2881349959,-0.008242901,0.014063517,0.26453114,0.0,0.99122894,-0.005012674,0.0064267004,0.1319046,0.0,0.0,-0.48950964,0,0,0,0,0
2881400218,-0.008910958,0.016315626,0.26453114,0.0,0.99121803,-0.0054922327,0.007498821,0.13191059,0.0,0.0,-0.48783165,0,0,0,0,0
2881453243,-0.0084051145,0.009375849,0.26453114,0.0,0.99124336,-0.0047840304,0.0040926943,0.13189717,0.0,0.0,-0.48563996,0,0,0,0,0
2881499731,-0.0064600366,0.011293773,0.26453114,0.0,0.9912423,-0.0039464547,0.005171537,0.13189556,0.0,0.0,-0.48466805,0,0,0,0,0
2881550666,-0.0050489735,0.016541272,0.26453114,0.0,0.99122584,-0.0035930665,0.00786536,0.13189602,0.0,0.0,-0.4868598,0,0,0,0,0
2881604766,-0.008809942,0.013088298,0.26453114,0.0,0.991231,-0.005229418,0.0059059663,0.13190474,0.0,0.0,-0.48663408,0,0,0,0,0
2881649644,-0.00652676,0.017444622,0.26453114,0.0,0.9912189,-0.0043850276,0.008215613,0.13190275,0.0,0.0,-0.49303088,0,0,0,0,0
2881699083,0.006729185,0.015717192,0.26453114,0.0,0.99123293,0.0022987188,0.008233541,0.13184923,0.0,0.0,-0.49167198,0,0,0,0,0
2881753076,0.011290722,0.009622266,0.26453114,0.0,0.991242,0.0049614757,0.0055135153,0.13184972,0.0,0.0,-0.4904063,0,0,0,0,0
2881796945,0.011143328,0.008033696,0.26453114,0.0,0.99124527,0.004993193,0.004716473,0.13185498,0.0,0.0,-0.48973787,0,0,0,0,0
2881850492,0.0105544645,0.007877664,0.26453114,0.0,0.99124694,0.0047116284,0.004600318,0.13185678,0.0,0.0,-0.4898225,0,0,0,0,0
2881901522,0.011866347,0.011069541,0.26453114,0.0,0.99123734,0.005151315,0.006268755,0.13184336,0.0,0.0,-0.4903673,0,0,0,0,0
2881951079,0.01405111,0.0075635007,0.26453114,0.0,0.9912376,0.0064653596,0.0046751355,0.13184974,0.0,0.0,-0.4884161,0,0,0,0,0
2882003604,0.011529349,0.009796151,0.26453114,0.0,0.991241,0.005068277,0.005615427,0.13184848,0.0,0.0,-0.48772052,0,0,0,0,0
2882052863,0.014598692,0.005707528,0.2645311,0.0,0.99123794,0.0068591526,0.003791386,0.13185555,0.0,0.0,-0.48747137,0,0,0,0,0
2882093969,0.023466805,0.0066394196,0.2645311,0.0,0.9911971,0.011192814,0.0048378417,0.13183182,0.0,0.0,-0.48597792,0,0,0,0,0
2882153218,0.015128142,-0.00015993936,0.2645311,0.0,0.9912372,0.007508477,0.000918273,0.13187706,0.0,0.0,-0.4879061,0,0,0,0,0
2882197703,0.01629418,0.0036193188,0.26453114,0.0,0.99123305,0.007837178,0.0028682195,0.13186105,0.0,0.0,-0.48882368,0,0,0,0,0
2882256811,0.01665539,-0.0021573678,0.2645311,0.0,0.99122953,0.008397109,2.9020106e-05,0.1318845,0.0,0.0,-0.49197423,0,0,0,0,0
2882298029,0.024576597,0.009647112,0.26453114,0.0,0.9911871,0.011544438,0.00640157,0.13181,0.0,0.0,-0.49428427,0,0,0,0,0
2882346600,0.0149761215,0.0056694685,0.26453114,0.0,0.9912367,0.0070487238,0.0037974063,0.13185497,0.0,0.0,-0.50053835,0,0,0,0,0
2882400991,0.011914733,0.006216572,0.26453114,0.0,0.99124575,0.005495356,0.0038667282,0.13185893,0.0,0.0,-0.5054794,0,0,0,0,0
2882447184,0.014695607,0.0066812905,0.2645311,0.0,0.9912366,0.0068429653,0.0042803865,0.13185161,0.0,0.0,-0.5084867,0,0,0,0,0
2882499447,0.02213813,0.0045410274,0.26453114,0.0,0.9912057,0.010672715,0.0037103,0.13184692,0.0,0.0,-0.509434,0,0,0,0,0
2882546131,0.026196193,0.0020054632,0.26453114,0.0,0.99118185,0.012851085,0.0027212177,0.13185585,0.0,0.0,-0.508433,0,0,0,0,0
2882603018,0.020248953,-0.0016422902,0.2645311,0.0,0.99121344,0.010144158,0.0005212641,0.13188168,0.0,0.0,-0.5049916,0,0,0,0,0
2882648032,0.030238118,-0.0013602593,0.26453114,0.0,0.99115074,0.015076116,0.0013197169,0.13187534,0.0,0.0,-0.50769293,0,0,0,0,0
2882704976,0.025319168,0.00089271227,0.26453114,0.0,0.99118686,0.012489813,0.0021119267,0.13186406,0.0,0.0,-0.5066944,0,0,0,0,0
2882754353,0.024957199,-0.0017032427,0.2645311,0.0,0.99118674,0.012481584,0.0008015203,0.13188046,0.0,0.0,-0.50430906,0,0,0,0,0
2882795370,0.019800128,0.005067759,0.26453114,0.0,0.9912172,0.009479248,0.0038172193,0.13184848,0.0,0.0,-0.50385636,0,0,0,0,0
2882851834,0.022210142,-0.0020472885,0.26453114,0.0,0.99120253,0.011142833,0.00044986786,0.13188334,0.0,0.0,-0.49743092,0,0,0,0,0
2882898199,0.015305766,-0.0023889663,0.26453114,0.0,0.9912347,0.0077434843,-0.00017476159,0.13188536,0.0,0.0,-0.49362376,0,0,0,0,0
2882947928,0.009729092,-0.0021831829,0.2645311,0.0,0.99125266,0.0049659936,-0.00044050947,0.13188387,0.0,0.0,-0.492249,0,0,0,0,0
2883001817,0.013809596,0.0014761235,0.26453114,0.0,0.99124247,0.0067471,0.0016421969,0.13187204,0.0,0.0,-0.49486053,0,0,0,0,0
2883042312,0.016550327,0.008919638,0.2645311,0.0,0.99122673,0.0076145697,0.0055120066,0.13183783,0.0,0.0,-0.49719977,0,0,0,0,0
2883102277,0.0036062803,0.0069988654,0.26453114,0.0,0.9912588,0.0013258746,0.0037066515,0.13187298,0.0,0.0,-0.49636757,0,0,0,0,0
